"","IgA","IgE1","IgE2","IgG","IgM"
"Wnt6",0.00409989199148841,0,0.0221668469460891,0,0
"Wnt10a",0.0981846224808968,0.203931679703705,0.27153374990339,0.16261952573627,0.896666685302877
"Nhej1",0,0.0159740481438986,0,0.0166320810223487,0.0242805484934276
"Cnppd1",0.884662490080532,1.39940717044406,0.867447307409627,0.687232364908722,0.92992080423412
"Retreg2",0.564781913100419,0.542660794800276,0.461070223780058,0.414017036227093,0.521222476551195
"Zfand2b",0.602963516180705,0.461458815736595,0.331499673141409,0.408279618185407,0.363176714835216
"Abcb6",0,0.00777726541903917,0.0153471194603701,0.0145730431372973,0.00346588912768379
"Atg9a",0.063472796611556,0.0429102400483808,0.0398371293342692,0.105125260779643,0.0411835960802623
"Ankzf1",0.184996154029594,0.139556307512283,0.126511560711596,0.191191269095338,0.154522016843896
"Glb1l",0.0168721975361332,0.0230916469645539,0.0182434631188943,0.0218486154958036,0.037251685501747
"Stk16",0.528604619391914,0.473441400224026,0.677656939506341,0.631305966150813,0.649793571853391
"Tuba4a",0.527185060798709,0.892931055578669,0.43880425245659,0.504160847494592,0.43995732681373
"Dnajb2",0.283862565637424,0.331354234499048,0.314202994283195,0.253741083560131,0.228074172072778
"Dnpep",1.43787258949654,1.35551088624118,1.74882479342763,1.65188465169133,1.46986003476504
"Speg",0.00951589292691043,0,0.0206686983835556,0,0.00378778988036682
"Gmppa",2.55436629830913,2.31779781519634,3.05880045629567,2.40693627005684,2.27235907331133
"Chpf",0.862396266695603,0.92884620750445,0.961612491371474,0.779305839977164,0.786784436015495
"Obsl1",0,0.0305200917754143,0,0,0.00218262816890778
"Tmem198",0,0.0122501778773835,0,0,0.00623611726088342
"Stk11ip",0.0214755739552905,0.0392109995432488,0.0495839912326134,0.0139173613956957,0.0465387507894799
"Slc4a3",0.00878421764193208,0.0032910003204456,0.010736767559439,0,0.00610111321882691
"Sgpp2",0.0216336326175648,0.00855646304344829,0.00834153491364654,0.0568955209257152,0.0331147070913804
"Farsb",0.684790290759517,0.659589733531311,0.674007283602894,0.669166418057168,0.670994625538913
"4833412K13Rik",0.0252238323897533,0.0177803948570062,0,0.0237898391923764,0
"Mogat1",0,0.0239594926525337,0.0362793112010099,0.0167958264095528,0.0182920408973448
"Acsl3",0.0921070923377915,0.104856542222414,0.0937207951138521,0.129006224955054,0.0612182983345885
"Utp14b",0.0154306008351829,0,0.00657953810980085,0,0
"Gm5830",0.00650208112960166,0.00695965120581886,0,0,0
"Ap1s3",0.253106010021087,0.217346120720012,0.240701064820308,0.239765734797267,0.250452889740099
"Wdfy1",0.233490946217155,0.185555629986354,0.185136606890514,0.158104113636638,0.331834159183057
"Mrpl44",0.310616661779833,0.304847486106634,0.315150112125134,0.321645676453451,0.425895720360387
